INFO:m = 5.928276820635042, b = 2.6373784022270965, mse = 12.464199854908445, prev_mse = 12.537740476438367, mse_inc = False, iteration 81
INFO:m = 5.925550394232462, b = 2.6560659522425984, mse = 12.391090588854816, prev_mse = 12.464199854908445, mse_inc = False, iteration 82
INFO:m = 5.922831975571496, b = 2.674698615365926, mse = 12.318410148144585, prev_mse = 12.391090588854816, mse_inc = False, iteration 83
INFO:m = 5.920121541132741, b = 2.693276552804457, mse = 12.246156017485427, prev_mse = 12.318410148144585, mse_inc = False, iteration 84
INFO:m = 5.917419067465871, b = 2.7117999252920892, mse = 12.174325696338578, prev_mse = 12.246156017485427, mse_inc = False, iteration 85
INFO:m = 5.914724531189435, b = 2.7302688930906323, mse = 12.102916698832288, prev_mse = 12.174325696338578, mse_inc = False, iteration 86
INFO:m = 5.912037908990658, b = 2.748683615991193, mse = 12.031926553675767, prev_mse = 12.102916698832288, mse_inc = False, iteration 87
INFO:m = 5.909359177625231, b = 2.7670442533155586, mse = 11.961352804073707, prev_mse = 12.031926553675767, mse_inc = False, iteration 88
INFO:m = 5.9066883139171225, b = 2.7853509639175753, mse = 11.891193007641206, prev_mse = 11.961352804073707, mse_inc = False, iteration 89
INFO:m = 5.904025294758365, b = 2.8036039061845215, mse = 11.821444736319295, prev_mse = 11.891193007641206, mse_inc = False, iteration 90
INFO:m = 5.901370097108863, b = 2.8218032380384797, mse = 11.752105576290873, prev_mse = 11.821444736319295, mse_inc = False, iteration 91
INFO:m = 5.8987226979961935, b = 2.8399491169377016, mse = 11.683173127897156, prev_mse = 11.752105576290873, mse_inc = False, iteration 92
INFO:m = 5.896083074515403, b = 2.858041699877971, mse = 11.614645005554705, prev_mse = 11.683173127897156, mse_inc = False, iteration 93
INFO:m = 5.893451203828811, b = 2.8760811433939626, mse = 11.546518837672771, prev_mse = 11.614645005554705, mse_inc = False, iteration 94
INFO:m = 5.890827063165817, b = 2.8940676035605946, mse = 11.478792266571274, prev_mse = 11.546518837672771, mse_inc = False, iteration 95
INFO:m = 5.888210629822697, b = 2.9120012359943805, mse = 11.41146294839923, prev_mse = 11.478792266571274, mse_inc = False, iteration 96
INFO:m = 5.885601881162408, b = 2.929882195854776, mse = 11.34452855305359, prev_mse = 11.41146294839923, mse_inc = False, iteration 97
INFO:m = 5.883000794614398, b = 2.94771063784552, mse = 11.277986764098593, prev_mse = 11.34452855305359, mse_inc = False, iteration 98
INFO:m = 5.880407347674405, b = 2.9654867162159726, mse = 11.211835278685669, prev_mse = 11.277986764098593, mse_inc = False, iteration 99
INFO:m = 5.877821517904261, b = 2.983210584762452, mse = 11.146071807473675, prev_mse = 11.211835278685669, mse_inc = False, iteration 100
INFO:m = 5.875243282931705, b = 3.0008823968295633, mse = 11.080694074549683, prev_mse = 11.146071807473675, mse_inc = False, iteration 101
INFO:m = 5.8726726204501825, b = 3.018502305311526, mse = 11.015699817350248, prev_mse = 11.080694074549683, mse_inc = False, iteration 102
INFO:m = 5.870109508218657, b = 3.0360704626534964, mse = 10.951086786583062, prev_mse = 11.015699817350248, mse_inc = False, iteration 103
INFO:m = 5.867553924061414, b = 3.0535870208528864, mse = 10.886852746149147, prev_mse = 10.951086786583062, mse_inc = False, iteration 104
INFO:m = 5.865005845867873, b = 3.071052131460679, mse = 10.822995473065433, prev_mse = 10.886852746149147, mse_inc = False, iteration 105
INFO:m = 5.862465251592391, b = 3.08846594558274, mse = 10.759512757387867, prev_mse = 10.822995473065433, mse_inc = False, iteration 106
INFO:m = 5.859932119254078, b = 3.105828613881123, mse = 10.696402402134899, prev_mse = 10.759512757387867, mse_inc = False, iteration 107
INFO:m = 5.8574064269366035, b = 3.123140286575376, mse = 10.633662223211468, prev_mse = 10.696402402134899, mse_inc = False, iteration 108
INFO:m = 5.854888152788004, b = 3.1404011134438394, mse = 10.571290049333413, prev_mse = 10.633662223211468, mse_inc = False, iteration 109
INFO:m = 5.852377275020501, b = 3.157611243824942, mse = 10.509283721952324, prev_mse = 10.571290049333413, mse_inc = False, iteration 110
INFO:m = 5.849873771910305, b = 3.1747708266184933, mse = 10.447641095180849, prev_mse = 10.509283721952324, mse_inc = False, iteration 111
INFO:m = 5.847377621797435, b = 3.1918800102869715, mse = 10.386360035718404, prev_mse = 10.447641095180849, mse_inc = False, iteration 112
INFO:m = 5.844888803085522, b = 3.208938942856808, mse = 10.325438422777399, prev_mse = 10.386360035718404, mse_inc = False, iteration 113
INFO:m = 5.842407294241632, b = 3.2259477719196683, mse = 10.264874148009781, prev_mse = 10.325438422777399, mse_inc = False, iteration 114
INFO:m = 5.839933073796073, b = 3.242906644633729, mse = 10.204665115434118, prev_mse = 10.264874148009781, mse_inc = False, iteration 115
INFO:m = 5.837466120342212, b = 3.259815707724951, mse = 10.144809241363008, prev_mse = 10.204665115434118, mse_inc = False, iteration 116
INFO:m = 5.835006412536288, b = 3.276675107488349, mse = 10.085304454331059, prev_mse = 10.144809241363008, mse_inc = False, iteration 117
INFO:m = 5.832553929097229, b = 3.293484989789256, mse = 10.026148695023082, prev_mse = 10.085304454331059, mse_inc = False, iteration 118
INFO:m = 5.830108648806468, b = 3.3102455000645876, mse = 9.967339916202913, prev_mse = 10.026148695023082, mse_inc = False, iteration 119
INFO:m = 5.827670550507757, b = 3.3269567833240985, mse = 9.908876082642537, prev_mse = 9.967339916202913, mse_inc = False, iteration 120
INFO:m = 5.825239613106987, b = 3.3436189841516373, mse = 9.850755171051649, prev_mse = 9.908876082642537, mse_inc = False, iteration 121
INFO:m = 5.822815815572005, b = 3.3602322467063988, mse = 9.792975170007619, prev_mse = 9.850755171051649, mse_inc = False, iteration 122
INFO:m = 5.820399136932428, b = 3.376796714724169, mse = 9.735534079885925, prev_mse = 9.792975170007619, mse_inc = False, iteration 123
INFO:m = 5.817989556279469, b = 3.3933125315185704, mse = 9.6784299127909, prev_mse = 9.735534079885925, mse_inc = False, iteration 124
INFO:m = 5.815587052765747, b = 3.4097798399823023, mse = 9.621660692486959, prev_mse = 9.6784299127909, mse_inc = False, iteration 125
INFO:m = 5.813191605605116, b = 3.426198782588375, mse = 9.56522445433022, prev_mse = 9.621660692486959, mse_inc = False, iteration 126
INFO:m = 5.810803194072478, b = 3.442569501391344, mse = 9.5091192452005, prev_mse = 9.56522445433022, mse_inc = False, iteration 127
INFO:m = 5.808421797503608, b = 3.45889213802854, mse = 9.453343123433708, prev_mse = 9.5091192452005, mse_inc = False, iteration 128
INFO:m = 5.806047395294971, b = 3.4751668337212904, mse = 9.39789415875467, prev_mse = 9.453343123433708, mse_inc = False, iteration 129
INFO:m = 5.80367996690355, b = 3.491393729276146, mse = 9.342770432210305, prev_mse = 9.39789415875467, mse_inc = False, iteration 130
INFO:m = 5.801319491846661, b = 3.507572965086097, mse = 9.287970036103264, prev_mse = 9.342770432210305, mse_inc = False, iteration 131
INFO:m = 5.798965949701781, b = 3.5237046811317865, mse = 9.233491073925824, prev_mse = 9.287970036103264, mse_inc = False, iteration 132
INFO:m = 5.7966193201063705, b = 3.539789016982723, mse = 9.179331660294343, prev_mse = 9.233491073925824, mse_inc = False, iteration 133
INFO:m = 5.794279582757694, b = 3.555826111798489, mse = 9.125489920883954, prev_mse = 9.179331660294343, mse_inc = False, iteration 134
INFO:m = 5.7919467174126495, b = 3.5718161043299417, mse = 9.07196399236374, prev_mse = 9.125489920883954, mse_inc = False, iteration 135
INFO:m = 5.789620703887589, b = 3.587759132920417, mse = 9.018752022332183, prev_mse = 9.07196399236374, mse_inc = False, iteration 136
INFO:m = 5.787301522058147, b = 3.6036553355069247, mse = 8.96585216925315, prev_mse = 9.018752022332183, mse_inc = False, iteration 137
INFO:m = 5.784989151859063, b = 3.619504849621342, mse = 8.913262602392082, prev_mse = 8.96585216925315, mse_inc = False, iteration 138
INFO:m = 5.78268357328401, b = 3.6353078123916025, mse = 8.860981501752677, prev_mse = 8.913262602392082, mse_inc = False, iteration 139
INFO:m = 5.780384766385423, b = 3.6510643605428847, mse = 8.809007058013895, prev_mse = 8.860981501752677, mse_inc = False, iteration 140
INFO:m = 5.778092711274325, b = 3.6667746303987943, mse = 8.757337472467336, prev_mse = 8.809007058013895, mse_inc = False, iteration 141
INFO:m = 5.7758073881201515, b = 3.682438757882542, mse = 8.705970956955, prev_mse = 8.757337472467336, mse_inc = False, iteration 142
INFO:m = 5.7735287771505845, b = 3.698056878518121, mse = 8.654905733807398, prev_mse = 8.705970956955, mse_inc = False, iteration 143
INFO:m = 5.771256858651378, b = 3.71362912743148, mse = 8.604140035782049, prev_mse = 8.654905733807398, mse_inc = False, iteration 144
INFO:m = 5.768991612966189, b = 3.7291556393516907, mse = 8.553672106002265, prev_mse = 8.604140035782049, mse_inc = False, iteration 145
INFO:m = 5.766733020496406, b = 3.7446365486121147, mse = 8.503500197896434, prev_mse = 8.553672106002265, mse_inc = False, iteration 146
INFO:m = 5.764481061700981, b = 3.760071989151565, mse = 8.4536225751375, prev_mse = 8.503500197896434, mse_inc = False, iteration 147
INFO:m = 5.76223571709626, b = 3.7754620945154658, mse = 8.404037511582919, prev_mse = 8.4536225751375, mse_inc = False, iteration 148
INFO:m = 5.759996967255813, b = 3.7908069978570063, mse = 8.354743291214893, prev_mse = 8.404037511582919, mse_inc = False, iteration 149
INFO:m = 5.757764792810269, b = 3.806106831938294, mse = 8.305738208081001, prev_mse = 8.354743291214893, mse_inc = False, iteration 150
INFO:m = 5.755539174447143, b = 3.8213617291315036, mse = 8.25702056623517, prev_mse = 8.305738208081001, mse_inc = False, iteration 151
INFO:m = 5.753320092910674, b = 3.8365718214200215, mse = 8.208588679678932, prev_mse = 8.25702056623517, mse_inc = False, iteration 152
INFO:m = 5.75110752900166, b = 3.8517372403995873, mse = 8.160440872303147, prev_mse = 8.208588679678932, mse_inc = False, iteration 153
INFO:m = 5.748901463577283, b = 3.8668581172794334, mse = 8.112575477829935, prev_mse = 8.160440872303147, mse_inc = False, iteration 154
INFO:m = 5.7467018775509535, b = 3.8819345828834195, mse = 8.06499083975506, prev_mse = 8.112575477829935, mse_inc = False, iteration 155
INFO:m = 5.744508751892139, b = 3.8969667676511652, mse = 8.017685311290547, prev_mse = 8.06499083975506, mse_inc = False, iteration 156
INFO:m = 5.742322067626202, b = 3.9119548016391774, mse = 7.970657255307756, prev_mse = 8.017685311290547, mse_inc = False, iteration 157
INFO:m = 5.740141805834234, b = 3.926898814521977, mse = 7.923905044280656, prev_mse = 7.970657255307756, mse_inc = False, iteration 158
INFO:m = 5.737967947652894, b = 3.9417989355932193, mse = 7.877427060229575, prev_mse = 7.923905044280656, mse_inc = False, iteration 159
INFO:m = 5.735800474274243, b = 3.9566552937668136, mse = 7.831221694665125, prev_mse = 7.877427060229575, mse_inc = False, iteration 160
INFO:m = 5.733639366945584, b = 3.9714680175780384, mse = 7.785287348532613, prev_mse = 7.831221694665125, mse_inc = False, iteration 161
INFO:m = 5.731484606969298, b = 3.986237235184653, mse = 7.739622432156643, prev_mse = 7.785287348532613, mse_inc = False, iteration 162
INFO:m = 5.729336175702681, b = 4.000963074368007, mse = 7.694225365186124, prev_mse = 7.739622432156643, mse_inc = False, iteration 163
INFO:m = 5.727194054557786, b = 4.015645662534147, mse = 7.649094576539603, prev_mse = 7.694225365186124, mse_inc = False, iteration 164
INFO:m = 5.725058225001258, b = 4.030285126714914, mse = 7.604228504350832, prev_mse = 7.649094576539603, mse_inc = False, iteration 165
INFO:m = 5.72292866855418, b = 4.044881593569049, mse = 7.55962559591478, prev_mse = 7.604228504350832, mse_inc = False, iteration 166
INFO:m = 5.720805366791904, b = 4.059435189383284, mse = 7.5152843076338485, prev_mse = 7.55962559591478, mse_inc = False, iteration 167
INFO:m = 5.7186883013439, b = 4.073946040073436, mse = 7.471203104964513, prev_mse = 7.5152843076338485, mse_inc = False, iteration 168
INFO:m = 5.716577453893595, b = 4.0884142711855, mse = 7.427380462364113, prev_mse = 7.471203104964513, mse_inc = False, iteration 169
INFO:m = 5.714472806178208, b = 4.102840007896727, mse = 7.383814863238176, prev_mse = 7.427380462364113, mse_inc = False, iteration 170
INFO:m = 5.712374339988605, b = 4.117223375016716, mse = 7.34050479988785, prev_mse = 7.383814863238176, mse_inc = False, iteration 171
INFO:m = 5.710282037169126, b = 4.131564496988489, mse = 7.297448773457761, prev_mse = 7.34050479988785, mse_inc = False, iteration 172
INFO:m = 5.708195879617441, b = 4.145863497889565, mse = 7.2546452938841135, prev_mse = 7.297448773457761, mse_inc = False, iteration 173
INFO:m = 5.7061158492843855, b = 4.160120501433044, mse = 7.212092879843157, prev_mse = 7.2546452938841135, mse_inc = False, iteration 174
INFO:m = 5.704041928173807, b = 4.174335630968662, mse = 7.1697900586999115, prev_mse = 7.212092879843157, mse_inc = False, iteration 175
INFO:m = 5.701974098342411, b = 4.188509009483874, mse = 7.127735366457175, prev_mse = 7.1697900586999115, mse_inc = False, iteration 176
INFO:m = 5.699912341899603, b = 4.202640759604905, mse = 7.085927347704893, prev_mse = 7.127735366457175, mse_inc = False, iteration 177
INFO:m = 5.697856641007333, b = 4.216731003597819, mse = 7.044364555569785, prev_mse = 7.085927347704893, mse_inc = False, iteration 178
INFO:m = 5.695806977879946, b = 4.230779863369576, mse = 7.00304555166525, prev_mse = 7.044364555569785, mse_inc = False, iteration 179
